,Name,Chain,Category,Locked (USD),1 Day %
1,Aave,Ethereum,Lending,$9.96B,4.49%
2,Maker,Ethereum,Lending,$9.01B,5.56%
3,Compound,Ethereum,Lending,$7.80B,4.11%
4,Polygon,Ethereum,Payments,$7.56B,4.06%
5,Curve Finance,Ethereum,DEXes,$7.38B,4.34%
6,Uniswap,Ethereum,DEXes,$6.87B,4.13%
7,InstaDApp,Ethereum,Lending,$4.91B,2.50%
8,yearn.finance,Ethereum,Assets,$3.97B,1.51%
9,SushiSwap,Ethereum,DEXes,$3.70B,6.54%
10,Liquity,Ethereum,Lending,$3.34B,5.50%
11,Synthetix,Ethereum,Derivatives,$1.53B,6.42%
12,Bancor,Ethereum,DEXes,$1.50B,5.89%
13,Balancer,Ethereum,DEXes,$1.46B,4.64%
14,Alpha Homora,Ethereum,Lending,$1.32B,3.99%
15,Flexa,Ethereum,Payments,$1.21B,27.39%
16,Vesper,Ethereum,Assets,$651.7M,1.38%
17,Badger DAO,Ethereum,Assets,$577.8M,2.76%
18,Tornado Cash,Ethereum,Payments,$564.7M,5.95%
19,Sablier,Ethereum,Payments,$549.8M,9.67%
20,DeFi Saver,Ethereum,Lending,$539.4M,5.74%
21,C.R.E.A.M. Finance,Ethereum,Lending,$538.0M,-10.54%
22,Nexus Mutual,Ethereum,Derivatives,$453.2M,6.26%
23,Alchemix,Ethereum,Lending,$397.9M,-2.72%
24,RenVM,Ethereum,Assets,$376.7M,3.09%
25,Set Protocol,Ethereum,Assets,$230.5M,5.26%
26,dYdX,Ethereum,Derivatives,$202.0M,4.34%
27,Idle Finance,Ethereum,Lending,$197.2M,-1.42%
28,Index Coop,Ethereum,Assets,$194.7M,5.44%
29,Harvest Finance,Ethereum,Assets,$187.1M,0.84%
30,B.Protocol,Ethereum,Lending,$185.3M,4.28%
31,Integral,Ethereum,DEXes,$177.5M,-0.75%
32,Loopring,Ethereum,DEXes,$159.1M,8.79%
33,KEEP Network,Ethereum,Assets,$155.9M,4.93%
34,TrueFi,Ethereum,Lending,$147.7M,1.33%
35,UMA,Ethereum,Derivatives,$135.0M,4.25%
36,Reflexer,Ethereum,Lending,$117.6M,5.98%
37,xDai,Ethereum,Payments,$80.9M,4.57%
