Label,Id
ClaimProofs,0xcafea81b73dab8f42c5eca7d2e821a82660b6775
Claims,0xcafea332B66eE4b2c3a2d9C9A2f9618C9C94a1e9
ClaimsData,0xdc2d359f59f6a26162972c3bd0cfbfd8c9ef43af
ClaimsReward,0xcafea2A26F12901F0F4249144F53dA60186c0722
CommunityStakingIncentives,0x27e6d3ce99fa5ec4019ce598af54bcb3a2fb2e5f
DistributorFactory,0x6752c6FbDDc24ac88f3749D8921E00c77Bffef8c
Gateway,0x089ab1536d032f54dfbc194ba47529a4351af1b5
Governance,0x4a5c681ddc32acc6cca51ac17e9d461e6be87900
Incidents,0x8ceba69a8e96a4ce71aa65859dbdb180b489a719
MCR,0xcafea8321B5109D22c53AC019D7A449C947701Fb
MemberRoles,0x055cc48f7968fd8640ef140610dd4038e1b03926
NXMToken,0xd7c49cee7e9188cca6ad8ff264c1da2e69d4cf3b
NXMaster,0x01bfd82675dbcc7762c84019ca518e701c0cd07e
Pool,0xcafea35cE5a2fc4CED4464DA4349f81A122fd12b
Pool2,0xcafeada4d15bbc7592113d5d5af631b5dcd53dcb
PooledStaking,0x84edffa16bb0b9ab1163abb0a13ff0744c11272f
ProposalCategory,0x888ea6ab349c854936b98586ce6a17e98bf254b2
Quotation,0xcafea28488Fdb84588a27d31ff42c4206C702a4C
QuotationData,0x1776651f58a17a50098d31ba3c3cd259c1903f7a
SwapOperator,0xcafea19bB9ab657f8Ea74363C937446C0846a320
TokenController,0x5407381b6c251cfd498ccd4a1d877739cb7960b8
TokenData,0xe20b3ae826cdb43676e418f7c3b84b75b5697a40
TokenFunction,0xcafea2d407f1307d1413e84b2730f0870fd72dc0
TwapOracle,0xcafea1c9f94e077df44d95c4a1ad5a5747a18b5c
