Protocol,Label,Id,EOA_CA
1inch,MooniswapFactory,0xbAF9A5d4b0052359326A6CDAb54BABAa3a3A9643,CA
1inch,Referral Fee Receiver,0x2eeA44E40930b1984F42078E836c659A12301E40,CA
1inch,Offchain Oracle,0x07D91f5fb9Bf7798734C3f606dB065549F6893bb,CA
1inch,Multicall,0x8d035edd8e09c3283463dade67cc0d49d6868063,CA
1inch,Limit Order Protocol,0x3ef51736315F52d568D6D2cf289419b9CfffE782,CA
1inch,contractAddress,0x11111112542d85b3ef69ae05771c2dccff4faa26,CA
1inch,tokenAddress,0x111111111117dc0aa78b770fa6a738034120c302,CA
1inch,walletAddress,0x2c9b2dbdba8a9c969ac24153f5c1c23cb0e63914,EOA
1inch,Governance Mothership,0xA0446D8804611944F1B527eCD37d7dcbE442caba,CA
1inch,Exchange Governance,0xB33839E05CE9Fc53236Ae325324A27612F4d110D,CA
1inch,Governance Rewards,0x0F85A912448279111694F4Ba4F85dC641c54b594,CA
1inch,Mooni Factory,0x71CD6666064C3A1354a3B4dca5fA1E2D3ee7D303,CA
1inch,CHI token,0x0000000000004946c0e9F43F4Dee607b0eF1fA1c,CA
1inch,Deployer,0x7E1E3334130355799F833ffec2D731BCa3E68aF6,EOA
1inch,MultiKyber wrapper,0xbFC22E3B81Bddc185eB7c50765a9F445589A12AE,CA
