Label,Id
3Pool-StableSwap3Pool,0xbEbc44782C7dB0a1A60Cb6fe97d0b483032FF1C7
3Pool-CurveTokenV2,0x6c3F90f043a72FA612cbac8115EE7e52BDe6E490
AAVE-CurveTokenV3,0xFd2a8fA60Abd58Efe3EeE34dd494cD491dC14900
AAVE-StableSwapAave,0xDeBF20617708857ebe4F679508E7b7863a8A8EeE
ankrETH-StableSwapAETH,0xA96A65c051bF88B4095Ee1f2451C2A9d43F53Ae2
ankrETH-CurveTokenV3,0xaA17A236F2bAdc98DDc0Cf999AbB47D47Fc0A6Cf
BUSD-StableSwapBUSD,0x79a8C46DeA5aDa233ABaFFD40F3A0A2B1e5A4F27
BUSD-DepositBUSD,0xb6c057591E073249F2D9D88Ba59a46CFC9B59EdB
BUSD-CurveTokenV1,0x3B3Ac5386837Dc563660FB6a0937DFAa5924333B
Compound-StableSwapCompound,0xA2B47E3D5c44877cca798226B7B8118F9BFb7A56
Compound-DepositCompound,0xeB21209ae4C2c9FF2a86ACA31E123764A3B6Bc06
Compound-CurveContractV1,0x845838DF265Dcd2c412A1Dc9e959c7d08537f8a2
EURS-StableSwapEURS,0x0Ce6a5fF5217e38315f87032CF90686C96627CAA
EURS-CurveTokenV3,0x194eBd173F6cDacE046C53eACcE9B953F28411d1
hBTC-StableSwapHBTC,0x4CA9b3063Ec5866A4B82E437059D2C43d1be596F
hBTC-CurveTokenV2,0xb19059ebb43466C323583928285a49f558E572Fd
IronBank-StableSwapIB,0x2dded6Da1BF5DBdF597C45fcFaa3194e53EcfeAF
IronBank-CurveTokenV3,0x5282a4eF67D9C33135340fB3289cc1711c13638C
Link-StableSwapLINK,0xf178c0b5bb7e7abf4e12a4838c7b7c5ba2c623c0
Link-CurveTokenV3,0xcee60cfa923170e4f8204ae08b4fa6a3f5656f3a
PAX-DepositPax,0xA50cCc70b6a011CffDdf45057E39679379187287
PAX-StableSwapPax,0x06364f10B501e868329afBc005b3492902d6C763
PAX-CurveTokenV1,0xD905e2eaeBe188fc92179b6350807D8bd91Db0D8
renBTC-StableSwapRen,0x93054188d876f558f4a66B2EF1d97d16eDf0895B
renBTC-CurveTokenV1,0x49849C98ae39Fff122806C06791Fa73784FB3675
rETH-StableSwapRETH,0xF9440930043eb3997fc70e1339dBb11F341de7A8
rETH-CurveTokenV3,0x53a901d48795C58f485cBB38df08FA96a24669D5
sAAVE-StableSwapSAAVE,0xEB16Ae0052ed37f479f7fe63849198Df1765a733
sAAVE-CurveTokenV3,0x02d341CcB60fAaf662bC0554d13778015d1b285C
sBTC-StableSwapSBTC,0x7fC77b5c7614E1533320Ea6DDc2Eb61fa00A9714
sBTC-CurveTokenV1,0x075b1bb99792c9E1041bA13afEf80C91a1e70fB3
sETH-StableSwapSETH,0xc5424B857f758E906013F3555Dad202e4bdB4567
sETH-CurveTokenV3,0xA3D87FffcE63B53E0d54fAa1cc983B7eB0b74A9c
stETH-StableSwapSTETH,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022
stETH-CurveTokenV3,0x06325440D014e39736583c165C2963BA99fAf14E
sUSD-DepositSUSD,0xFCBa3E75865d2d561BE8D220616520c171F12851
sUSD-StableSwapSUSD,0xA5407eAE9Ba41422680e2e00537571bcC53efBfD
sUSD-CurveTokenV1,0xC25a3A3b969415c80451098fa907EC722572917F
TriCrypto-CurveCryptoSwap,0x80466c64868E1ab14a1Ddf27A676C3fcBE638Fe5
TriCrypto-DepositZap,0x331aF2E331bd619DefAa5DAc6c038f53FCF9F785
TriCrypto-CurveTokenV4,0xcA3d75aC011BF5aD07a98d02f18225F9bD9A6BDF
USDT-DepositUSDT,0xac795D2c97e60DF6a99ff1c814727302fD747a80
USDT-StableSwapUSDT,0x52EA46506B9CC5Ef470C5bf89f17Dc28bB35D85C
USDT-CurveTokenV1,0x9fC689CCaDa600B6DF723D9E47D84d76664a1F23
Y-DepositY,0xbBC81d23Ea2c3ec7e56D39296F0cbB648873a5d3
Y-StableSwapY,0x45F783CCE6B7FF23B2ab2D70e416cdb7D6055f51
Y-CurveTokenV1,0xdF5e0e81Dff6FAF3A7e52BA697820c5e32D806A8
Yv2-StableSwapYv2,0x8925D9d9B4569D737a48499DeF3f67BaA5a144b9
