Label,Id
SushiToken,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2
MasterChef,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd
SushiV2Factory,0xc0aee478e3658e2610c5f7a4a2e1777ce9e4f2ac
SushiV2Router02,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f
SushiBar,0x8798249c2e607446efb7ad49ec89dd1865ff4272
SushiMaker,0xE11fc0B43ab98Eb91e9836129d1ee7c3Bc95df50
MasterChefV2,0xef0881ec094552b2e128cf945ef17a6752b4ec5d
Kashi SushiMaker,0x08C82f7513C7952A95029FE3B1587B1FA52DACed
SushiRoll,0x16E58463eb9792Bc236d8860F5BC69A81E26E32B
TimeLock,0x9a8541Ddf3a932a9A922B607e9CF7301f1d47bD1
Operations Multisig,0x19B3Eb3Af5D93b77a5619b047De0EED7115A19e7
Treasury Multisig,0xe94B5EEC1fA96CEecbD33EF5Baa8d00E4493F4f3
