Label,Id
UniswapV2Factory,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f
UniswapV2Router01,0xf164fc0ec4e93095b804a4795bbe1e041497b92a
UniswapV2Router02,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
UniswapV3Factory,0x1F98431c8aD98523631AE4a59f267346ea31F984
Multicall2,0x5BA1e12693Dc8F9c48aAD8770482f4739bEeD696
ProxyAdmin,0xB753548F6E010e7e680BA186F9Ca1BdAB2E90cf2
TickLens,0xbfd8137f7d1516D3ea5cA83523914859ec47F573
Quoter,0xb27308f9F90D607463bb33eA1BeBb41C27CE5AB6
SwapRouter,0xE592427A0AEce92De3Edee1F18E0157C05861564
NFTDescriptor,0x42B24A95702b9986e82d421cC3568932790A48Ec
NonfungibleTokenPositionDescriptor,0x91ae842A5Ffd8d12023116943e72A606179294f3
TransparentUpgradeableProxy,0xEe6A57eC80ea46401049E92587E52f5Ec1c24785
NonfungiblePositionManager,0xC36442b4a4522E871399CD717aBDD847Ab11FE88
V3Migrator,0xA5644E29708357803b5A882D272c41cC0dF92B34
UNI,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984
