,Label,Id,Type
0,LendingPoolAddressesProvider,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,CORE
1,LendingPoolAddressesProviderRegistry,0x52d306e36e3b6b02c153d0266ff0f85d18bcd413,CORE
2,LendingPool,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,CORE
3,LendingPoolCollateralManager,0xbd4765210d4167ce2a5b87280d9e8ee316d5ec7c,CORE
4,LendingPoolConfigurator,0x311bb771e4f8952e6da169b425e7e92d6ac45756,CORE
5,LendingRateOracle,0x8a32f49ffba88aba6eff96f45d8bd1d4b3f35c7d,CORE
6,Price Oracle,0xa50ba011c48153de246e5192c8f9258a2ba79ca9,CORE
7,Emergency Admin,0xb9062896ec3a615a4e4444df183f0531a77218ae,CORE
8,ProtocolDataProvider,0x057835ad21a177dbdd3090bb1cae03eacf78fc6d,CORE
9,WETHGateway,0xdcd33426ba191383f1c9b431a342498fdac73488,CORE
10,Collector contract,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,CORE
11,aUSDT,0x3ed3b47dd13ec9a98b44e6204a523e766b225811,TOKEN
12,stableDebtTokenAddress - aUSDT,0xe91d55ab2240594855abd11b3faae801fd4c4687,TOKEN
13,variableDebtTokenAddress - aUSDT,0x531842cebbdd378f8ee36d171d6cc9c4fcf475ec,TOKEN
14,aWBTC,0x9ff58f4ffb29fa2266ab25e75e2a8b3503311656,TOKEN
15,stableDebtTokenAddress - aWBTC,0x51b039b9afe64b78758f8ef091211b5387ea717c,TOKEN
16,variableDebtTokenAddress - aWBTC,0x9c39809dec7f95f5e0713634a4d0701329b3b4d2,TOKEN
17,aWETH,0x030ba81f1c18d280636f32af80b9aad02cf0854e,TOKEN
18,stableDebtTokenAddress - aWETH,0x4e977830ba4bd783c0bb7f15d3e243f73ff57121,TOKEN
19,variableDebtTokenAddress - aWETH,0xf63b34710400cad3e044cffdcab00a0f32e33ecf,TOKEN
20,aYFI,0x5165d24277cd063f5ac44efd447b27025e888f37,TOKEN
21,stableDebtTokenAddress - aYFI,0xca823f78c2dd38993284bb42ba9b14152082f7bd,TOKEN
22,variableDebtTokenAddress - aYFI,0x7ebd09022be45ad993baa1cec61166fcc8644d97,TOKEN
23,aZRX,0xdf7ff54aacacbff42dfe29dd6144a69b629f8c9e,TOKEN
24,stableDebtTokenAddress - aZRX,0x071b4323a24e73a5afeebe34118cd21b8faaf7c3,TOKEN
25,variableDebtTokenAddress - aZRX,0x85791d117a392097590bded3bd5abb8d5a20491a,TOKEN
26,aUNI,0xb9d7cb55f463405cdfbe4e90a6d2df01c2b92bf1,TOKEN
27,stableDebtTokenAddress - aUNI,0xd939f7430dc8d5a427f156de1012a56c18acb6aa,TOKEN
28,variableDebtTokenAddress - aUNI,0x5bdb050a92cadccfcdcccbfc17204a1c9cc0ab73,TOKEN
29,aAAVE,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,TOKEN
30,stableDebtTokenAddress - aAAVE,0x079d6a3e844bcecf5720478a718edb6575362c5f,TOKEN
31,variableDebtTokenAddress - aAAVE,0xf7dba49d571745d9d7fcb56225b05bea803ebf3c,TOKEN
32,aBAT,0x05ec93c0365baaeabf7aeffb0972ea7ecdd39cf1,TOKEN
33,stableDebtTokenAddress - aBAT,0x277f8676facf4daa5a6ea38ba511b7f65aa02f9f,TOKEN
34,variableDebtTokenAddress - aBAT,0xfc218a6dfe6901cb34b1a5281fc6f1b8e7e56877,TOKEN
35,aBUSD,0xa361718326c15715591c299427c62086f69923d9,TOKEN
36,stableDebtTokenAddress - aBUSD,0x4a7a63909a72d268b1d8a93a9395d098688e0e5c,TOKEN
37,variableDebtTokenAddress - aBUSD,0xba429f7011c9fa04cdd46a2da24dc0ff0ac6099c,TOKEN
38,aDAI,0x028171bca77440897b824ca71d1c56cac55b68a3,TOKEN
39,stableDebtTokenAddress - aDAI,0x778a13d3eeb110a4f7bb6529f99c000119a08e92,TOKEN
40,variableDebtTokenAddress - aDAI,0x6c3c78838c761c6ac7be9f59fe808ea2a6e4379d,TOKEN
41,aENJ,0xac6df26a590f08dcc95d5a4705ae8abbc88509ef,TOKEN
42,stableDebtTokenAddress - aENJ,0x943dcca156b5312aa24c1a08769d67fece4ac14c,TOKEN
43,variableDebtTokenAddress -aENJ,0x38995f292a6e31b78203254fe1cdd5ca1010a446,TOKEN
44,aKNC,0x39c6b3e42d6a679d7d776778fe880bc9487c2eda,TOKEN
45,stableDebtTokenAddress - aKNC,0x9915dfb872778b2890a117da1f35f335eb06b54f,TOKEN
46,variableDebtTokenAddress - aKNC,0x6b05d1c608015ccb8e205a690cb86773a96f39f1,TOKEN
47,aLINK,0xa06bc25b5805d5f8d82847d191cb4af5a3e873e0,TOKEN
48,stableDebtTokenAddress - aLINK,0xfb4aec4cc858f2539ebd3d37f2a43eae5b15b98a,TOKEN
49,variableDebtTokenAddress - aLINK,0x0b8f12b1788bfde65aa1ca52e3e9f3ba401be16d,TOKEN
50,aMANA,0xa685a61171bb30d4072b338c80cb7b2c865c873e,TOKEN
51,stableDebtTokenAddress - aMANA,0xd86c74ea2224f4b8591560652b50035e4e5c0a3b,TOKEN
52,variableDebtTokenAddress - aMANA,0x0a68976301e46ca6ce7410db28883e309ea0d352,TOKEN
53,aMKR,0xc713e5e149d5d0715dcd1c156a020976e7e56b88,TOKEN
54,stableDebtTokenAddress - aMKR,0xc01c8e4b12a89456a9fd4e4e75b72546bf53f0b5,TOKEN
55,variableDebtTokenAddress - aMKR,0xba728ead5e496be00dcf66f650b6d7758ecb50f8,TOKEN
56,aREN,0xcc12abe4ff81c9378d670de1b57f8e0dd228d77a,TOKEN
57,stableDebtTokenAddress - aREN,0x3356ec1efa75d9d150da1ec7d944d9edf73703b7,TOKEN
58,variableDebtTokenAddress - aREN,0xcd9d82d33bd737de215cdac57fe2f7f04df77fe0,TOKEN
59,aSNX,0x35f6b052c598d933d69a4eec4d04c73a191fe6c2,TOKEN
60,stableDebtTokenAddress - aSNX,0x8575c8ae70bdb71606a53aea1c6789cb0fbf3166,TOKEN
61,variableDebtTokenAddress - aSNX,0x267eb8cf715455517f9bd5834aeae3cea1ebdbd8,TOKEN
62,aSUSD,0x6c5024cd4f8a59110119c56f8933403a539555eb,TOKEN
63,stableDebtTokenAddress - aSUSD,0x30b0f7324fedf89d8eff397275f8983397efe4af,TOKEN
64,variableDebtTokenAddress - aSUSD,0xdc6a3ab17299d9c2a412b0e0a4c1f55446ae0817,TOKEN
66,aTUSD,0x101cc05f4a51c0319f570d5e146a8c625198e636,TOKEN
67,stableDebtTokenAddress - aTUSD,0x7f38d60d94652072b2c44a18c0e14a481ec3c0dd,TOKEN
68,variableDebtTokenAddress - aTUSD,0x01c0eb1f8c6f1c1bf74ae028697ce7aa2a8b0e92,TOKEN
69,aUSDC,0xbcca60bb61934080951369a648fb03df4f96263c,TOKEN
70,stableDebtTokenAddress - aUSDC,0xe4922afab0bbadd8ab2a88e0c79d884ad337fca6,TOKEN
71,variableDebtTokenAddress - aUSDC,0x619beb58998ed2278e08620f97007e1116d5d25b,TOKEN
72,aCRV,0x8dae6cb04688c62d939ed9b68d32bc62e49970b1,TOKEN
73,stableDebtTokenAddress - aCRV,0x9288059a74f589c919c7cf1db433251cdfeb874b,TOKEN
74,variableDebtTokenAddress - aCRV,0x00ad8ebf64f141f1c81e9f8f792d3d1631c6c684,TOKEN
75,aGUSD,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,TOKEN
76,stableDebtTokenAddress - aGUSD,0xf8ac64ec6ff8e0028b37eb89772d21865321bce0,TOKEN
77,variableDebtTokenAddress - aGUSD,0x279af5b99540c1a3a7e3cdd326e19659401ef99e,TOKEN
78,aBAL,0x272f97b7a56a387ae942350bbc7df5700f8a4576,TOKEN
79,stableDebtTokenAddress - aBAL,0xe569d31590307d05da3812964f1edd551d665a0b,TOKEN
