Protocol,Label,Id,EOA_CA
InstaDApp,Mainnet-InstaIndex,0x2971AdFa57b20E5a416aE5a708A8655A9c74f723,CA
InstaDApp,Mainnet-InstaList,0x4c8a1BEb8a87765788946D6B19C6C6355194AbEb,CA
InstaDApp,mainnet-v1-InstaAccount,0x939Daad09fC4A9B8f8A9352A485DAb2df4F4B3F8,CA
InstaDApp,mainnet-v1-InstaConnectors,0xD6A602C01a023B98Ecfb29Df02FBA380d3B21E0c,CA
InstaDApp,mainnet-v1-InstaEvent,0x2af7ea6Cb911035f3eb1ED895Cb6692C39ecbA97,CA
InstaDApp,mainnet-v1-InstaMemory,0x8a5419CfC711B2343c17a6ABf4B2bAFaBb06957F,CA
InstaDApp,mainnet-v2-InstaAccountV2,0xFE02a32Cbe0CB9ad9A945576A5bb53A3C123A3A3,CA
InstaDApp,mainnet-v2-InstaConnectorsV2Proxy,0x7D53E606308A2E0A1D396F30dc305cc7f8483436,CA
InstaDApp,mainnet-v2-InstaConnectorsV2,0x97b0B3A8bDeFE8cB9563a3c610019Ad10DB8aD11,CA
InstaDApp,mainnet-v2-InstaImplementations,0xCBA828153d3a85b30B5b912e1f2daCac5816aE9D,CA
InstaDApp,mainnet-v2-InstaDefaultImplementation,0x28aDcDC02Ca7B3EDf11924102726066AA0fA7010,CA
InstaDApp,mainnet-v2-InstaImplementationM1,0x8a3462A50e1a9Fe8c9e7d9023CAcbD9a98D90021,CA
InstaDApp,mainnet-v2-InstaChiefTimelockContract,0xb3e586BCE929312e8B0685E2c12c1d6dbbcdc370,CA
InstaDApp,Polygon-InstaIndex,0xA9B99766E6C676Cf1975c0D3166F96C0848fF5ad,CA
InstaDApp,Polygon-InstaList,0x839c2D3aDe63DF5b0b8F3E57D5e145057Ab41556,CA
InstaDApp,polygon-v1-InstaAccount,0xA7c805e4ad4E7B51d2a1eB442B2014a9B63D3703,CA
InstaDApp,polygon-v1-InstaConnectors,0x3254Ce8f5b1c82431B8f21Df01918342215825C2,CA
InstaDApp,polygon-v1-InstaMemory,0x6C7256cf7C003dD85683339F75DdE9971f98f2FD,CA
InstaDapp,Polygon-v2-InstaAccountV2,0x28846f4051EB05594B3fF9dE76b7B5bf00431155,EOA
InstaDapp,polygon-v2-InstaConnectorsV2Proxy,0x01fEF4d2B513C9F69E34b2f93Ef707FA9Ff60109,CA
InstaDapp,polygon-v2-InstaConnectorsV2,0x2A00684bFAb9717C21271E0751BCcb7d2D763c88,CA
InstaDapp,polygon-v2-InstaImplementations,0x39d3d5e7c11D61E072511485878dd84711c19d4A,EOA
InstaDapp,polygon-v2-InstaDefaultImplementation,0x2240770bEc8cB22ed716F2DCcC4F24980A904bC5,EOA
InstaDapp,polygon-v2-InstaImplementationM1,0x4aec8c5b1cf3498bef061e13d8e7f646feeb7029,CA
InstaDapp,polygon-v2-InstaImplementationM2,0x2638c8950e04ef002d083f62aeaa10ee32f1ae60,CA
InstaDapp,AUTHORITY-A,0x351Bb32e90C35647Df7a584f3c1a3A0c38F31c68,CA
InstaDapp,BASIC-A,0x9926955e0Dd681Dc303370C52f4Ad0a4dd061687,CA
InstaDapp,1INCH-A,0x235fca310ac7be45c7ad45f111203468743e4b7c,CA
InstaDapp,1INCH-B,0xaBac3dCf164eD827EAfda8e05eCc8208D6bc5E04,CA
InstaDapp,COMPOUND-A,0xbb153cf09a123746e0eb3b3a436c544a7eeb24b6,CA
InstaDapp,AAVE-V1-A,0x612c5CA43230D9F97a0ac87E4420F66b8DF97e9D,CA
InstaDapp,AAVE-V2-A,0x68b27A84101ac5120bBAb7Ce8d6b096C961df52C,CA
InstaDapp,MAKERDAO-A,0x4049db23c605b197f764072569b8db2464653ef6,CA
InstaDapp,UNISWAP-V2-A,0x1E5CE41BdB653734445FeC3553b61FebDdaFC43c,CA
InstaDapp,COMP-A,0xB446e325D44C52b93eC122Bf76301f235f90B9c9,CA
InstaDapp,UNISWAP-A,0xA4BF319968986D2352FA1c550D781bBFCCE3FcaB,CA
InstaDapp,POLYGON-BRIDGE-A,0x1b79B302132370B434fb7807b36CB72FB0510aD5,CA
InstaDapp,AAVE-CLAIM-A,0x611C1FA59Aa1d6352c4C8bD44882063c6aEE85E0,CA
InstaDapp,AAVE-STAKE-A,0xf73c94402bc24148b744083ed02654eec2c37d5b,CA
InstaDapp,G-UNISWAP-A,0x2fca923c7535083f25f761dcf289d7d81f024dda,CA
InstaDapp,INST-STAKING-A,0x37a63939e128d284e0eae5d3e517aad44f5204d4,CA
InstaDapp,AAVE-V2-IMPORT-B,0x6fe05374924830B6aC98849f75A3D5766E51Ef10,CA
InstaDapp,COMPOUND-IMPORT-B,0xdA101870ca6136539628F28041E1B55baf4EB6C0,CA
InstaDapp,INSTAPOOL-A,0x5806Af7AB22E2916fA582Ff05731Bf7C682387B2,CA
InstaDapp,"MAKERDAO-CLAIM-A""",0x2f8cBE650af98602a215b6482F2aD60893C5A4E8,CA
InstaDapp,WETH-A,0x22075fa719eFb02Ca3cF298AFa9C974B7465E5D3,CA
InstaDapp,REFINANCE-A,0x9eA34bE6dA51aa9F6408FeA79c946FDCFA424442,CA
InstaDapp,INST-A,0x52C2C4a0db049255fF345EB9D3Fb1f555b7a924A,CA
InstaDapp,1INCH-A,0xC0d9210496afE9763F5d8cEb8deFfBa817232A9e,CA
InstaDapp,AAVE-V2-A,0xE84d8010Afc3663919F44685cB53ED88866da3eE,CA
InstaDapp,BASIC-A,0x1cAF5EC802ca602E98139AD96A8f2B7BC524264E,CA
InstaDapp,AAVE-CLAIM-A,0xC7Cb1dE2721BFC0E0DA1b9D526bCdC54eF1C0eFC,CA
InstaDapp,PARASWAP-A,0xFb3a1D56eD56F046721B9aCa749895100754578b,CA
InstaDApp,InstaVestingFactory,0x3b05a5295Aa749D78858E33ECe3b97bB3Ef4F029,CA
InstaDApp,InstaTokenVesting,0xC3c6dFe03C70247651b005Dd1f7df8a6F8e6e058,CA
InstaDApp,InstaVestingResolver,0x2170aFF22d2457B4418b3CbB66c7ffC2C6a9751D,CA
InstaDapp,ConnectMaker,0x99369e4163af2E8763416ac83A01756365d44DaD,CA
InstaDapp,ConnectAave,0x8F4B452225Df22fc1E449BDA0202f7162A71DE62,CA
InstaDapp,ConnectCompound,0xc4c77f9A56Bb841952B452CF504ebD614368E6Fa,CA
InstaDapp,InstapoolCompoundMapping,0x309eFfce30436C50a872fd9d2B431D7a77341f4C,CA
InstaDapp,InstaPoolV2Implementation,0xaEaCe9781F7354080F09818Dc639584758e6768E,CA
InstaDapp,InstaPoolV2,0x2a1739D7F07d40e76852Ca8f0D82275Aa087992F,CA
InstaDapp,connectors 1,0x2a26228e607ffD2aB2bD3aA49cBae0eDC6469Bf8,CA
InstaDapp,InstaAaveV2MigratorSender1,0xA0557234eB7b3c503388202D3768Cfa2f1AE9Dc2,CA
InstaDapp,InstaMasterProxy1,0xa471D83e526B6b5D6c876088D34834B44D4064ff,CA
InstaDapp,Instapool1,0xd7e8E6f5deCc5642B77a5dD0e445965B128a585D,CA
InstaDapp,ConnectAaveV2PolygonMigrator1,0x9686ce6ad5c3f7b212caf401b928c4bb3422e7ba,CA
InstaDapp,InstaAaveV2MigratorSenderImplementation1,0xBa577Da4cd3DD740c52Ff1193e0409f48569b327,CA
InstaDapp,InstaAaveV2MigratorReceiver137,0x4A090897f47993C2504144419751D6A91D79AbF4,CA
InstaDapp,InstaMasterProxy137,0x697860CeE594c577F18f71cAf3d8B68D913c7366,CA
InstaDapp,InstaAaveV2MigratorReceiverImplementation137,0xFB8a92E017E3416c0F63c28C53195337eBDeba2E,CA
InstaDapp,InstaImplementationM2137,0xEAac5739eB532110431b14D01017506DBA8f7b07,CA
